"tm","hgv","ddb","series","volume","document","aquila ddbSerIDP","aquila ddbSer","aquila ddbVol","aquila ddbDoc"
"25457","25457","aegyptus;89;240","aegyptus","89","240","p.flor","p.flor","3","324"
"17644","17644","basp;47;46","basp","47","46","psi","psi","7","731"
"21349","21349","basp;49;135","basp","49","135","p.mich","p.mich","3","219"
"31374","31374","basp;49;83","basp","49","83","p.tebt","p.tebt","2","583"
"28663","28663","basp;50;112","basp","50","112","p.fay","p.fay","","344v"
"13612","13612","basp;50;125","basp","50","125","p.tebt","p.tebt","2","562"
"13594","13594","basp;50;40","basp","50","40","p.tebt","p.tebt","2","519"
"13503","13503","basp;50;45","basp","50","45","p.tebt","p.tebt","2","348"
"25730","25730","basp;50;89","basp","50","89","p.fay","p.fay","","344r"
"8882","8882","bgu;1;108","bgu","1","108","chr.wilck","chr.wilck","","227"
"8929","8929","bgu;1;163","bgu","1","163","sb","sb","24","16258"
"9726","9726","bgu;13;2337","bgu","13","2337","p.dime","","3","22"
"45597","45597","bgu;2;580","bgu","2","580","p.dime","p.dime","3","3"
"9411","9411","bgu;3;911","bgu","3","911","p.dime","","3","7"
"64373","64373","bgu;4;1024","bgu","4","1024","p.aktenbuch","","","pag3_8"
"33053","33053","bgu;4;1025","bgu","4","1025","p.aktenbuch","","","pag15_16"
"14878","14878","bgu;7;1599","bgu","7","1599","sb","sb","20","14382"
"74522","74522","c.ep.lat;;160","c.ep.lat","","160","o.florida","o.florida","","160"
"74523","74523","c.ep.lat;;161","c.ep.lat","","161","o.florida","o.florida","","161"
"74524","74524","c.ep.lat;;162","c.ep.lat","","162","o.florida","o.florida","","162"
"80266","80266","c.etiq.mom;;2077","c.etiq.mom","","2077","c.étiq.mom","c.étiq.mom","","2077"
"38462","38462","c.illum.pap;;31","c.illum.pap","","31","sb","sb","20","14495"
"39685","39685","c.illum.pap;;38","c.illum.pap","","38","sb","sb","20","14498"
"38463","38463","c.illum.pap;;45","c.illum.pap","","45","sb","sb","20","14499"
